dteday;temp;atemp
2011-01-01;14.110847;18.18125
2011-01-02;14.902598000000001;17.686950000000003
2011-01-03;8.050924;9.47025
2011-01-04;8.200000000000001;10.6061
2011-01-05;9.305237;11.4635
2011-01-06;8.378268;11.66045
2011-01-07;8.057402;10.44195
2011-01-08;6.765000000000001;8.1127
2011-01-09;5.671653;5.80875
2011-01-10;6.184153;7.5443999999999996
2011-01-11;6.9327309999999995;9.5732
2011-01-12;7.0818069999999995;8.02365
2011-01-13;6.765000000000001;7.544149999999999
2011-01-14;6.59567;9.42065
2011-01-15;9.566653;12.4056
2011-01-16;9.498347;11.71085
2011-01-17;7.209153;8.838550000000001
2011-01-18;8.883347;11.61665
2011-01-19;11.979134;14.921100000000001
2011-01-20;10.728347;12.7525
2011-01-21;7.2775;7.89165
2011-01-22;2.4243464;3.9534800000000003
2011-01-23;3.9573897000000002;4.941955
2011-01-24;3.9930433;5.8965
2011-01-25;9.162598000000001;11.7263
2011-01-26;8.9175;10.18
2011-01-27;7.995;10.985
2011-01-28;8.342597999999999;11.165849999999999
2011-01-29;8.057402;10.606300000000001
2011-01-30;8.877402;12.5161
2011-01-31;7.414153;9.3125
2011-02-01;7.8791340000000005;11.7265
2011-02-02;10.66;12.72085
2011-02-03;7.665237;8.8939
2011-02-04;8.663464;11.429350000000001
2011-02-05;9.566653;12.152899999999999
2011-02-06;11.719153;14.58355
2011-02-07;11.138347;15.1829
2011-02-08;9.054153;9.9123
2011-02-09;5.526102999999999;7.21415
2011-02-10;5.918268;7.477399999999999
2011-02-11;7.752731000000001;10.67545
2011-02-12;9.1225;11.6477
2011-02-13;12.977402000000001;16.20565
2011-02-14;17.015;19.9175
2011-02-15;10.909567000000001;12.7137
2011-02-16;13.048701000000001;15.809999999999999
2011-02-17;17.869153;21.4329
2011-02-18;21.388347;25.599149999999998
2011-02-19;16.365847;19.5702
2011-02-20;11.693897;13.8665
2011-02-21;12.436653000000002;14.203750000000001
2011-02-22;7.471102;9.30165
2011-02-23;9.091299;12.28585
2011-02-24;12.121732000000002;14.459549999999998
2011-02-25;14.938268;17.52305
2011-02-26;11.5825;14.1096
2011-02-27;14.082598;17.55545
2011-02-28;16.698193;20.005899999999997
2011-03-01;10.933347;13.19395
2011-03-02;13.735000000000001;16.00355
2011-03-03;8.131653;10.00665
2011-03-04;10.728347;12.783949999999999
2011-03-05;15.750846999999998;18.93895
2011-03-06;15.437402;18.3126
2011-03-07;10.731299;11.92305
2011-03-08;11.9925;15.120000000000001
2011-03-09;12.129153;14.3304
2011-03-10;15.952731;19.2834
2011-03-11;12.977402000000001;15.25
2011-03-12;13.495847;16.287499999999998
2011-03-13;15.758268000000001;19.004550000000002
2011-03-14;13.333896999999999;16.6
2011-03-15;13.013031;15.908900000000001
2011-03-16;14.973897000000001;18.3465
2011-03-17;17.015;20.51665
2011-03-18;22.14;26.35045
2011-03-19;19.3725;23.32625
2011-03-20;13.6325;16.287499999999998
2011-03-21;17.647835;20.48675
2011-03-22;18.108347;22.0321
2011-03-23;14.225237;16.89695
2011-03-24;11.684999999999999;13.541649999999999
2011-03-25;10.830846999999999;12.8156
2011-03-26;10.899153;12.87855
2011-03-27;10.374763000000002;12.51695
2011-03-28;10.838268000000001;12.878700000000002
2011-03-29;12.4025;14.6454
2011-03-30;12.299999999999999;14.8675
2011-03-31;11.001653;12.87875
2011-04-01;12.299999999999999;14.172699999999999
2011-04-02;12.915000000000001;15.78185
2011-04-03;15.511652999999999;18.93835
2011-04-04;23.506653;27.14645
2011-04-05;16.980847;19.9175
2011-04-06;16.024153;19.3804
2011-04-07;17.9375;21.684800000000003
2011-04-08;13.769153;16.223950000000002
2011-04-09;14.0425;17.07645
2011-04-10;17.493347;21.33685
2011-04-11;24.421732;28.260849999999998
2011-04-12;20.6025;24.6527
2011-04-13;16.912499999999998;20.864150000000002
2011-04-14;19.1675;23.1371
2011-04-15;18.313347;22.09565
2011-04-16;17.664153000000002;21.2746
2011-04-17;18.723347;22.2848
2011-04-18;21.0125;25.1573
2011-04-19;20.739152999999998;24.4629
2011-04-20;24.395;28.2196
2011-04-21;18.825847;22.6946
2011-04-22;13.803347;16.0977
2011-04-23;18.86;22.50605
2011-04-24;23.848347;27.58815
2011-04-25;24.873347;28.725
2011-04-26;25.898346999999998;29.704150000000002
2011-04-27;25.419999999999998;28.7571
2011-04-28;25.317500000000003;28.946450000000002
2011-04-29;20.91;24.87315
2011-04-30;19.3725;23.201050000000002
2011-05-01;18.518347;22.4102
2011-05-02;22.515846999999997;26.64165
2011-05-03;25.283347;29.10395
2011-05-04;16.980847;20.2325
2011-05-05;18.825847;22.09585
2011-05-06;19.645847;23.70585
2011-05-07;21.32;25.63105
2011-05-08;21.661653;25.946649999999998
2011-05-09;21.8325;26.2623
2011-05-10;21.8325;26.13605
2011-05-11;22.2425;26.419999999999998
2011-05-12;21.935000000000002;26.16815
2011-05-13;21.0125;24.715
2011-05-14;21.354153;25.03145
2011-05-15;23.0625;26.8
2011-05-16;23.677500000000002;27.5256
2011-05-17;23.028347;26.926450000000003
2011-05-18;22.55;26.3579
2011-05-19;21.764153;25.537100000000002
2011-05-20;22.003347;26.4521
2011-05-21;24.7025;28.59875
2011-05-22;24.770847;28.725
2011-05-23;25.898346999999998;29.5148
2011-05-24;27.060000000000002;30.240650000000002
2011-05-25;27.094153;30.7771
2011-05-26;29.041653;32.7344
2011-05-27;27.948347000000002;31.8504
2011-05-28;26.889153;30.61895
2011-05-29;27.3675;30.777500000000003
2011-05-30;30.066653000000002;33.5546
2011-05-31;31.775000000000002;36.26915
2011-06-01;31.330847000000002;36.04835
2011-06-02;29.314999999999998;32.1971
2011-06-03;25.419999999999998;29.356650000000002
2011-06-04;26.035;29.7348
2011-06-05;26.581653000000003;30.8402
2011-06-06;27.811653;31.0929
2011-06-07;29.0075;32.7975
2011-06-08;31.809153;36.36395
2011-06-09;33.141653;37.87895
2011-06-10;30.955000000000002;35.1646
2011-06-11;29.724999999999998;33.901900000000005
2011-06-12;28.392500000000002;32.166250000000005
2011-06-13;26.035;30.082700000000003
2011-06-14;24.770847;29.5773
